FARM_ID,MSRM_DT,AREA_NM,AREA_TPRT,AREA_HMDT,AREA_WDSP,EXTN_TPRT,EXTN_WDSP,EXTN_SRQT,SHPMN_QTY
GBE_KRMLN_002000aa,2019-01-01 00:00:00,성주,-1.9,50,1.6,,,,
GBE_KRMLN_002000aa,2019-01-01 01:00:00,성주,-3.2,54,1.7,,,,
GBE_KRMLN_002000aa,2019-01-01 02:00:00,성주,-2.5,62,2.1,,,,
GBE_KRMLN_002000aa,2019-01-01 03:00:00,성주,-2.5,62,1.6,,,,
GBE_KRMLN_002000aa,2019-01-01 04:00:00,성주,-3.6,67,0.8,,,,
GBE_KRMLN_002000aa,2019-01-01 05:00:00,성주,-2.4,64,1.7,,,,
GBE_KRMLN_002000aa,2019-01-01 06:00:00,성주,-3.3,69,2.3,,,,
GBE_KRMLN_002000aa,2019-01-01 07:00:00,성주,-2.0,64,1.0,,,,
GBE_KRMLN_002000aa,2019-01-01 08:00:00,성주,-2.5,67,0.3,,,,
GBE_KRMLN_002000aa,2019-01-01 09:00:00,성주,-1.3,62,0.8,,,,
GBE_KRMLN_002000aa,2019-01-01 10:00:00,성주,-1.0,59,2.0,,,,
GBE_KRMLN_002000aa,2019-01-01 11:00:00,성주,-0.1,58,1.5,,,,
GBE_KRMLN_002000aa,2019-01-01 12:00:00,성주,1.6,52,1.8,,,,
GBE_KRMLN_002000aa,2019-01-01 13:00:00,성주,1.4,50,3.0,,,,
GBE_KRMLN_002000aa,2019-01-01 14:00:00,성주,1.6,54,2.8,,,,
GBE_KRMLN_002000aa,2019-01-01 15:00:00,성주,1.7,52,2.1,,,,
GBE_KRMLN_002000aa,2019-01-01 16:00:00,성주,1.7,52,2.5,,,,
GBE_KRMLN_002000aa,2019-01-01 17:00:00,성주,0.9,58,1.4,,,,
GBE_KRMLN_002000aa,2019-01-01 18:00:00,성주,0.3,59,2.5,,,,
GBE_KRMLN_002000aa,2019-01-01 19:00:00,성주,-0.6,71,1.3,,,,
GBE_KRMLN_002000aa,2019-01-01 20:00:00,성주,0.1,59,2.3,,,,
GBE_KRMLN_002000aa,2019-01-01 21:00:00,성주,-0.5,61,1.8,,,,
GBE_KRMLN_002000aa,2019-01-01 22:00:00,성주,-0.9,59,2.2,,,,
GBE_KRMLN_002000aa,2019-01-01 23:00:00,성주,-1.7,61,1.8,,,,
GBE_KRMLN_002000aa,2019-01-02 00:00:00,성주,-2.7,64,0.8,,,,
GBE_KRMLN_002000aa,2019-01-02 01:00:00,성주,-2.9,62,1.1,,,,
GBE_KRMLN_002000aa,2019-01-02 02:00:00,성주,-2.7,61,1.7,,,,
GBE_KRMLN_002000aa,2019-01-02 03:00:00,성주,-3.6,62,1.5,,,,
GBE_KRMLN_002000aa,2019-01-02 04:00:00,성주,-4.3,64,0.7,,,,
GBE_KRMLN_002000aa,2019-01-02 05:00:00,성주,-4.4,64,0.5,,,,
GBE_KRMLN_002000aa,2019-01-02 06:00:00,성주,-5.8,74,0.0,,,,
GBE_KRMLN_002000aa,2019-01-02 07:00:00,성주,-5.5,73,0.1,,,,
GBE_KRMLN_002000aa,2019-01-02 08:00:00,성주,-6.1,79,0.1,,,,
GBE_KRMLN_002000aa,2019-01-02 09:00:00,성주,-3.3,72,0.2,,,,
GBE_KRMLN_002000aa,2019-01-02 10:00:00,성주,-0.5,57,2.0,,,,
GBE_KRMLN_002000aa,2019-01-02 11:00:00,성주,0.9,49,2.1,,,,
GBE_KRMLN_002000aa,2019-01-02 12:00:00,성주,1.6,43,2.7,,,,
GBE_KRMLN_002000aa,2019-01-02 13:00:00,성주,1.9,36,2.6,,,,
GBE_KRMLN_002000aa,2019-01-02 14:00:00,성주,3.5,32,1.9,,,,
GBE_KRMLN_002000aa,2019-01-02 15:00:00,성주,3.1,26,2.1,,,,
GBE_KRMLN_002000aa,2019-01-02 16:00:00,성주,2.6,27,1.8,,,,
GBE_KRMLN_002000aa,2019-01-02 17:00:00,성주,1.9,31,1.7,,,,
GBE_KRMLN_002000aa,2019-01-02 18:00:00,성주,0.4,38,0.5,,,,
GBE_KRMLN_002000aa,2019-01-02 19:00:00,성주,-1.5,49,0.6,,,,
GBE_KRMLN_002000aa,2019-01-02 20:00:00,성주,-2.4,57,0.4,,,,
GBE_KRMLN_002000aa,2019-01-02 21:00:00,성주,-3.1,62,0.5,,,,
GBE_KRMLN_002000aa,2019-01-02 22:00:00,성주,-3.8,65,0.0,,,,
GBE_KRMLN_002000aa,2019-01-02 23:00:00,성주,-3.1,60,0.8,,,,
GBE_KRMLN_002000aa,2019-01-03 00:00:00,성주,-3.5,59,0.4,,,,
GBE_KRMLN_002000aa,2019-01-03 01:00:00,성주,-2.6,48,1.2,,,,
GBE_KRMLN_002000aa,2019-01-03 02:00:00,성주,-3.8,56,1.6,,,,
GBE_KRMLN_002000aa,2019-01-03 03:00:00,성주,-4.7,63,0.7,,,,
GBE_KRMLN_002000aa,2019-01-03 04:00:00,성주,-5.8,70,0.6,,,,
GBE_KRMLN_002000aa,2019-01-03 05:00:00,성주,-5.3,71,0.8,,,,
GBE_KRMLN_002000aa,2019-01-03 06:00:00,성주,-4.6,69,0.8,,,,
GBE_KRMLN_002000aa,2019-01-03 07:00:00,성주,-5.1,73,0.9,,,,
GBE_KRMLN_002000aa,2019-01-03 08:00:00,성주,-4.2,70,2.1,,,,
GBE_KRMLN_002000aa,2019-01-03 09:00:00,성주,-2.2,65,1.3,,,,
GBE_KRMLN_002000aa,2019-01-03 10:00:00,성주,0.1,48,1.5,,,,
GBE_KRMLN_002000aa,2019-01-03 11:00:00,성주,1.0,33,1.9,,,,
GBE_KRMLN_002000aa,2019-01-03 12:00:00,성주,3.1,23,1.9,,,,
GBE_KRMLN_002000aa,2019-01-03 13:00:00,성주,4.2,18,1.9,,,,
GBE_KRMLN_002000aa,2019-01-03 14:00:00,성주,4.6,12,2.2,,,,
GBE_KRMLN_002000aa,2019-01-03 15:00:00,성주,4.9,11,1.2,,,,
GBE_KRMLN_002000aa,2019-01-03 16:00:00,성주,4.1,13,1.4,,,,
GBE_KRMLN_002000aa,2019-01-03 17:00:00,성주,2.4,21,0.5,,,,
GBE_KRMLN_002000aa,2019-01-03 18:00:00,성주,0.0,32,0.3,,,,
GBE_KRMLN_002000aa,2019-01-03 19:00:00,성주,-0.1,30,0.8,,,,
GBE_KRMLN_002000aa,2019-01-03 20:00:00,성주,-0.5,30,1.1,,,,
GBE_KRMLN_002000aa,2019-01-03 21:00:00,성주,-2.1,37,0.0,,,,
GBE_KRMLN_002000aa,2019-01-03 22:00:00,성주,-2.2,39,0.5,,,,
GBE_KRMLN_002000aa,2019-01-03 23:00:00,성주,-3.5,46,0.7,,,,
GBE_KRMLN_002000aa,2019-01-04 00:00:00,성주,-4.0,47,0.0,,,,
GBE_KRMLN_002000aa,2019-01-04 01:00:00,성주,-4.7,50,0.0,,,,
GBE_KRMLN_002000aa,2019-01-04 02:00:00,성주,-4.7,49,0.0,,,,
GBE_KRMLN_002000aa,2019-01-04 03:00:00,성주,-4.6,51,0.0,,,,
GBE_KRMLN_002000aa,2019-01-04 04:00:00,성주,-5.5,58,0.2,,,,
GBE_KRMLN_002000aa,2019-01-04 05:00:00,성주,-6.4,60,0.0,,,,
GBE_KRMLN_002000aa,2019-01-04 06:00:00,성주,-5.9,61,0.0,,,,
GBE_KRMLN_002000aa,2019-01-04 07:00:00,성주,-6.8,68,0.5,,,,
GBE_KRMLN_002000aa,2019-01-04 08:00:00,성주,-7.4,69,0.0,,,,
GBE_KRMLN_002000aa,2019-01-04 09:00:00,성주,-4.8,56,0.4,,,,
GBE_KRMLN_002000aa,2019-01-04 10:00:00,성주,-2.4,48,0.7,,,,
GBE_KRMLN_002000aa,2019-01-04 11:00:00,성주,0.1,37,0.5,,,,
GBE_KRMLN_002000aa,2019-01-04 12:00:00,성주,3.3,24,0.6,,,,
GBE_KRMLN_002000aa,2019-01-04 13:00:00,성주,4.6,20,0.6,,,,
GBE_KRMLN_002000aa,2019-01-04 14:00:00,성주,5.7,11,2.3,,,,
GBE_KRMLN_002000aa,2019-01-04 15:00:00,성주,5.9,24,2.2,,,,
GBE_KRMLN_002000aa,2019-01-04 16:00:00,성주,4.9,32,2.7,,,,
GBE_KRMLN_002000aa,2019-01-04 17:00:00,성주,4.5,38,1.2,,,,
GBE_KRMLN_002000aa,2019-01-04 18:00:00,성주,4.0,45,1.0,,,,
GBE_KRMLN_002000aa,2019-01-04 19:00:00,성주,3.9,48,0.8,,,,
GBE_KRMLN_002000aa,2019-01-04 20:00:00,성주,3.2,54,0.7,,,,
GBE_KRMLN_002000aa,2019-01-04 21:00:00,성주,1.0,64,0.2,,,,
GBE_KRMLN_002000aa,2019-01-04 22:00:00,성주,-0.1,72,0.0,,,,
GBE_KRMLN_002000aa,2019-01-04 23:00:00,성주,-1.2,74,0.1,,,,
GBE_KRMLN_002000aa,2019-01-05 00:00:00,성주,-0.8,78,0.6,,,,
GBE_KRMLN_002000aa,2019-01-05 01:00:00,성주,-0.8,77,0.0,,,,
GBE_KRMLN_002000aa,2019-01-05 02:00:00,성주,-1.2,82,0.0,,,,
GBE_KRMLN_002000aa,2019-01-05 03:00:00,성주,-1.0,85,0.0,,,,
GBE_KRMLN_002000aa,2019-01-05 04:00:00,성주,-0.9,87,0.3,,,,
GBE_KRMLN_002000aa,2019-01-05 05:00:00,성주,-1.0,86,0.1,,,,
GBE_KRMLN_002000aa,2019-01-05 06:00:00,성주,-1.3,91,0.2,,,,
GBE_KRMLN_002000aa,2019-01-05 07:00:00,성주,1.1,81,1.3,,,,
GBE_KRMLN_002000aa,2019-01-05 08:00:00,성주,1.0,78,1.1,,,,
GBE_KRMLN_002000aa,2019-01-05 09:00:00,성주,1.0,80,1.0,,,,
GBE_KRMLN_002000aa,2019-01-05 10:00:00,성주,3.3,60,1.4,,,,
GBE_KRMLN_002000aa,2019-01-05 11:00:00,성주,4.5,40,1.8,,,,
GBE_KRMLN_002000aa,2019-01-05 12:00:00,성주,5.1,36,1.9,,,,
GBE_KRMLN_002000aa,2019-01-05 13:00:00,성주,4.8,28,1.8,,,,
GBE_KRMLN_002000aa,2019-01-05 14:00:00,성주,5.4,22,1.9,,,,
GBE_KRMLN_002000aa,2019-01-05 15:00:00,성주,5.1,18,2.4,,,,
GBE_KRMLN_002000aa,2019-01-05 16:00:00,성주,4.9,17,2.0,,,,
GBE_KRMLN_002000aa,2019-01-05 17:00:00,성주,3.6,17,1.4,,,,
GBE_KRMLN_002000aa,2019-01-05 18:00:00,성주,1.5,24,1.1,,,,
GBE_KRMLN_002000aa,2019-01-05 19:00:00,성주,1.1,23,2.2,,,,
GBE_KRMLN_002000aa,2019-01-05 20:00:00,성주,-1.1,32,0.9,,,,
GBE_KRMLN_002000aa,2019-01-05 21:00:00,성주,-2.1,38,0.7,,,,
GBE_KRMLN_002000aa,2019-01-05 22:00:00,성주,-2.9,37,0.3,,,,
GBE_KRMLN_002000aa,2019-01-05 23:00:00,성주,-4.0,45,0.8,,,,
GBE_KRMLN_002000aa,2019-01-06 00:00:00,성주,-4.5,48,0.4,,,,
GBE_KRMLN_002000aa,2019-01-06 01:00:00,성주,-4.7,49,0.0,,,,
GBE_KRMLN_002000aa,2019-01-06 02:00:00,성주,-5.2,53,0.1,,,,
GBE_KRMLN_002000aa,2019-01-06 03:00:00,성주,-4.6,52,0.1,,,,
GBE_KRMLN_002000aa,2019-01-06 04:00:00,성주,-4.1,48,0.3,,,,
GBE_KRMLN_002000aa,2019-01-06 05:00:00,성주,-5.0,54,0.0,,,,
GBE_KRMLN_002000aa,2019-01-06 06:00:00,성주,-5.7,60,0.2,,,,
GBE_KRMLN_002000aa,2019-01-06 07:00:00,성주,-5.7,58,0.0,,,,
GBE_KRMLN_002000aa,2019-01-06 08:00:00,성주,-5.1,57,0.1,,,,
GBE_KRMLN_002000aa,2019-01-06 09:00:00,성주,-4.3,59,0.1,,,,
GBE_KRMLN_002000aa,2019-01-06 10:00:00,성주,-3.3,50,0.3,,,,
GBE_KRMLN_002000aa,2019-01-06 11:00:00,성주,-0.2,34,0.4,,,,
GBE_KRMLN_002000aa,2019-01-06 12:00:00,성주,1.4,30,0.4,,,,
GBE_KRMLN_002000aa,2019-01-06 13:00:00,성주,4.0,16,0.6,,,,
GBE_KRMLN_002000aa,2019-01-06 14:00:00,성주,5.3,14,1.1,,,,
GBE_KRMLN_002000aa,2019-01-06 15:00:00,성주,6.2,11,0.9,,,,
GBE_KRMLN_002000aa,2019-01-06 16:00:00,성주,5.9,10,1.5,,,,
GBE_KRMLN_002000aa,2019-01-06 17:00:00,성주,4.0,16,0.8,,,,
GBE_KRMLN_002000aa,2019-01-06 18:00:00,성주,2.7,18,1.8,,,,
GBE_KRMLN_002000aa,2019-01-06 19:00:00,성주,1.7,24,2.2,,,,
