FARM_ID,MSRM_DT,AREA_NM,AREA_TPRT,AREA_HMDT,AREA_WDSP,INNER_TPRT,INNER_HMDT,INNER_CBDX_CTRN,SHPMN_QTY
GBE_KRMLN_0030000g,2020-01-01 00:00:00,성주,-4.6,37.0,2.0,14.1,63.0,776.0,
GBE_KRMLN_0030000g,2020-01-01 01:00:00,성주,-4.7,39.0,1.6,13.6,65.9,744.0,
GBE_KRMLN_0030000g,2020-01-01 02:00:00,성주,-4.8,49.0,1.2,12.9,67.3,725.0,
GBE_KRMLN_0030000g,2020-01-01 03:00:00,성주,-4.2,55.0,1.7,12.7,67.3,766.0,
GBE_KRMLN_0030000g,2020-01-01 04:00:00,성주,-5.0,59.0,1.8,12.0,64.3,774.0,
GBE_KRMLN_0030000g,2020-01-01 05:00:00,성주,-3.8,59.0,0.8,13.5,80.9,904.0,
GBE_KRMLN_0030000g,2020-01-01 06:00:00,성주,-2.9,62.0,0.1,14.0,83.1,996.0,
GBE_KRMLN_0030000g,2020-01-01 07:00:00,성주,-2.9,66.0,0.6,14.2,83.6,1073.0,
GBE_KRMLN_0030000g,2020-01-01 08:00:00,성주,-2.3,75.0,1.2,14.2,82.0,1085.0,
GBE_KRMLN_0030000g,2020-01-01 09:00:00,성주,-0.9,71.0,0.8,14.6,79.9,1044.0,
GBE_KRMLN_0030000g,2020-01-01 10:00:00,성주,0.6,66.0,0.9,16.5,89.2,1156.0,
GBE_KRMLN_0030000g,2020-01-01 11:00:00,성주,2.2,65.0,1.4,14.8,63.4,762.0,
GBE_KRMLN_0030000g,2020-01-01 12:00:00,성주,3.4,56.0,1.9,16.8,65.4,565.0,
GBE_KRMLN_0030000g,2020-01-01 13:00:00,성주,4.5,52.0,2.2,24.0,58.4,457.0,
GBE_KRMLN_0030000g,2020-01-01 14:00:00,성주,3.9,53.0,2.4,27.5,54.6,406.0,
GBE_KRMLN_0030000g,2020-01-01 15:00:00,성주,4.6,50.0,2.5,26.8,50.8,398.0,
GBE_KRMLN_0030000g,2020-01-01 16:00:00,성주,4.3,49.0,1.7,21.6,70.4,450.0,
GBE_KRMLN_0030000g,2020-01-01 17:00:00,성주,3.3,55.0,1.2,21.9,87.3,1065.0,
GBE_KRMLN_0030000g,2020-01-01 18:00:00,성주,1.9,62.0,1.1,19.9,84.8,,
GBE_KRMLN_0030000g,2020-01-01 19:00:00,성주,0.8,70.0,1.1,18.5,84.1,,
GBE_KRMLN_0030000g,2020-01-01 20:00:00,성주,-0.3,77.0,0.0,17.8,83.0,,
GBE_KRMLN_0030000g,2020-01-01 21:00:00,성주,-0.6,77.0,0.0,17.2,81.4,1358.0,
GBE_KRMLN_0030000g,2020-01-01 22:00:00,성주,0.4,76.0,0.4,16.6,82.1,1229.0,
GBE_KRMLN_0030000g,2020-01-01 23:00:00,성주,0.5,76.0,0.2,16.2,81.6,1128.0,
GBE_KRMLN_0030000g,2020-01-02 00:00:00,성주,0.1,76.0,0.2,15.8,81.6,1086.0,
GBE_KRMLN_0030000g,2020-01-02 01:00:00,성주,-0.2,81.0,0.3,15.5,81.3,1099.0,
GBE_KRMLN_0030000g,2020-01-02 02:00:00,성주,-1.2,87.0,0.7,15.1,81.0,1121.0,
GBE_KRMLN_0030000g,2020-01-02 03:00:00,성주,-1.7,89.0,0.1,14.9,81.2,1138.0,
